mt,ks,0,0
non,0,50,60,24
non,0,46,60,8
non,0,54,0,8
non,0,60,78,0
non,0,63,83,0
non,0,50,56,8
non,0,54,69,8
non,0,57,75,0
non,0,50,0,224
non,0,54,0,48
non,0,57,0,0
non,0,60,0,0
non,0,63,0,8
non,0,57,93,16
non,0,50,71,8
non,0,54,85,8
non,0,60,87,0
non,0,63,93,0
non,0,46,0,64
non,0,60,0,16
non,0,50,0,8
non,0,63,0,0
non,0,54,0,8
non,0,57,0,0
non,0,50,0,24
non,0,54,60,0
non,0,46,59,32
non,0,46,0,264
non,0,50,62,40
non,0,46,31,56
non,0,46,0,56
non,0,54,84,32
non,0,57,57,8
non,0,54,0,8
non,0,46,48,16
non,0,46,0,232
non,0,57,88,32
non,0,60,87,8
non,0,63,96,0
non,0,46,34,40
non,0,46,0,80
non,0,66,0,60
non,0,46,59,4
non,0,70,96,4
non,0,69,0,20
non,0,51,58,8
non,0,67,82,8
non,0,50,0,8
non,0,57,0,0
non,0,60,0,8
non,0,54,0,8
non,0,63,0,0
non,0,57,0,8
non,0,51,91,264
non,0,55,87,0
non,0,58,90,8
non,0,62,77,0
non,0,65,81,8
non,0,46,0,72
non,0,55,51,72
non,0,46,59,16
non,0,51,0,0
non,0,46,0,264
non,0,46,19,72
non,0,46,0,56
non,0,51,0,32
non,0,55,0,0
non,0,65,0,0
non,0,58,0,16
non,0,62,0,0
non,0,58,60,32
non,0,55,0,16
non,0,46,57,8
non,0,58,96,0
non,0,62,89,0
non,0,65,89,0
non,0,51,89,16
non,0,55,98,0
non,0,62,0,96
non,0,58,0,8
non,0,65,0,8
non,0,51,0,8
non,0,55,0,0
non,0,46,0,136
non,0,46,38,72
non,0,46,0,72
non,0,50,48,48
non,0,57,89,8
non,0,61,92,0
non,0,64,74,0
non,0,50,68,8
non,0,66,68,4
non,0,67,0,0
non,0,69,96,0
non,0,46,57,4
non,0,54,84,0
non,0,58,0,24
non,0,70,0,8
non,0,46,0,384
non,0,54,66,8
non,0,50,0,16
non,0,46,69,48
non,0,65,89,288
non,0,46,0,8
non,0,64,0,24
non,0,57,62,120
non,0,54,0,16
non,0,46,69,16
non,0,46,0,224
non,0,46,43,80
non,0,69,0,68
non,0,46,0,12
non,0,46,58,64
non,0,69,96,4
non,0,66,0,8
non,0,55,62,4
non,0,65,75,4
non,0,53,73,12
non,0,57,0,0
non,0,57,81,0
non,0,59,81,8
non,0,62,77,0
non,0,50,0,8
non,0,50,56,0
non,0,54,0,8
non,0,57,0,0
non,0,61,0,0
non,0,65,0,8
non,0,46,0,224
non,0,50,0,8
non,0,53,0,8
non,0,57,0,8
non,0,59,0,0
non,0,62,0,0
non,0,46,53,32
non,0,62,78,8
non,0,49,56,8
non,0,50,67,0
non,0,53,80,0
non,0,57,93,0
non,0,59,87,8
non,0,57,0,64
non,0,59,0,0
non,0,62,0,8
non,0,50,0,8
non,0,53,0,0
non,0,49,0,56
non,0,55,0,296
non,0,62,46,0
non,0,46,0,48
non,0,46,10,16
non,0,46,0,96
non,0,64,74,8
non,0,46,3,24
non,0,62,0,0
